Name	Smiles	Odor	Reference
(Z)-2-penten-1-ol	CC/C=C\CO  	green	The Good Scents Company Information System
1-phenyl-2-pentanol	CCCC(CC1=CC=CC=C1)O  	green	The Good Scents Company Information System
2-phenyl propionaldehyde	CC(C=O)C1=CC=CC=C1  	green	The Good Scents Company Information System
(E,E)-sorbyl acetate	C/C=C/C=C/COC(=O)C	green	The Good Scents Company Information System
(E,E)-sorbyl isobutyrate	C/C=C/C=C/COC(=O)C(C)C  	green	The Good Scents Company Information System
(E)-tiglaldehyde	C/C=C(\C)/C=O  	green	The Good Scents Company Information System
2,2,4-trimethyl-1,3-oxathiane	CC1CCOC(S1)(C)C  	green	The Good Scents Company Information System
2,4,4-trimethyl-1,3-oxathiane	CC1OCCC(S1)(C)C  	green	The Good Scents Company Information System
2,4-undecadienal	CCCCCC/C=C/C=C/C=O  	green	The Good Scents Company Information System
1,5-undecadien-4-ol	 CCCCCC=CC(CC=C)O  	green	The Good Scents Company Information System
3,5-undecadien-2-one	CCCCC/C=C/C=C/C(=O)C  	green	The Good Scents Company Information System
alpha-butyl cinnamaldehyde	CCCC/C(=C\C1=CC=CC=C1)/C=O  	green	The Good Scents Company Information System
isobutyl octanoate	CCCCCCCC(=O)OCC(C)C  	green	The Good Scents Company Information System
2-butyl-2-octenal	CCCCC/C=C(/CCCC)\C=O  	green	The Good Scents Company Information System
Iso butyl propionate	 CCC(=O)OCC(C)C  	green	The Good Scents Company Information System
2-tert-butyl pyrazine	CC(C)(C)C1=NC=CN=C1  	green	The Good Scents Company Information System
3-butylidene phthalide	CCC/C=C\1/C2=CC=CC=C2C(=O)O1  	green	The Good Scents Company Information System
2-cyclopentyl cyclopentanone	C1CCC(C1)C2CCCC2=O  	green	The Good Scents Company Information System
(E)-6-decenal	CCC/C=C/CCCCC=O  	green	The Good Scents Company Information System
(Z)-4-decenoic acid	CCCCC/C=C\CCC(=O)O 	green	The Good Scents Company Information System
(Z)-5-decenoic acid	CCCC/C=C\CCCC(=O)O  	green	The Good Scents Company Information System
9-decenoic acid	C=CCCCCCCCC(=O)O  	green	The Good Scents Company Information System
3-decen-2-one	CCCCCC/C=C/C(=O)C 	green	The Good Scents Company Information System
iso decyl acetate	CC(C)CCCCCCCOC(=O)C  	green	The Good Scents Company Information System
1,4-dibutyl-6,8-dioxabicyclo(3.2.1)octane	CCCCC1CCC2(COC1O2)CCCC  	green	The Good Scents Company Information System
2,4-diethyl-5-propyl oxazole	CCCC1=C(N=C(O1)CC)CC  	green	The Good Scents Company Information System
2,5-diethyl-4-propyl thiazole	CCCC1=C(SC(=N1)CC)CC	green	The Good Scents Company Information System
3,6-dimethylheptan-2-ol	CC(C)CCC(C)C(C)O  	green	The Good Scents Company Information System
(E,Z)-2,6-dodecadienal	CCCCC/C=C\CC/C=C/C=O 	green	The Good Scents Company Information System
